Player,Position,Score,Value over Avg,Value over Next
Anthony McCoy Sea TE,TE,1.06,-70.85,0.40
Nick O'Leary Buf TE,TE,1.06,-70.85,0.00
Chris Conley KC WR,WR,34.44,-70.85,0.46
Richard Gordon KC TE,TE,0.66,-71.24,0.13
Demetrius Harris* KC TE O,TE,0.66,-71.24,0.00
Albert Wilson KC WR P,WR,33.98,-71.32,0.33
Justin Perillo GB TE,TE,0.53,-71.38,0.53
Riley Cooper Phi WR P,WR,33.65,-71.65,0.92
Andre Holmes Oak WR D,WR,33.65,-71.65,0.00
Cameron Artis-Payne Car RB,RB,26.28,-71.77,0.63
Kevin Brock* NO TE IR,TE,0.00,-71.90,0.00
Mike Caussin* Wsh TE IR,TE,0.00,-71.90,0.00
Gabe Miller Wsh TE,TE,0.00,-71.90,0.00
Kyle Miller SD TE,TE,0.00,-71.90,0.00
David Paulson SD TE,TE,0.00,-71.90,0.00
Matt Veldman Wsh TE,TE,0.00,-71.90,0.00
Jake Byrne SD TE,TE,0.00,-71.90,0.00
Niles Paul* Wsh TE IR,TE,0.00,-71.90,0.00
Khiry Robinson NO RB P,RB,25.64,-72.41,0.61
Nick Toon NO WR Q,WR,32.72,-72.57,1.58
Toby Gerhart Jac RB P,RB,25.03,-73.01,2.31
Robert Griffin Wsh QB Q,QB,162.73,-73.73,15.77
Danny Amendola NE WR,WR,31.14,-74.15,0.40
Louis Murphy TB WR,WR,31.14,-74.15,0.00
Mohamed Sanu Cin WR,WR,30.74,-74.55,2.18
Matt Asiata Min RB,RB,22.72,-75.32,0.10
Chris Johnson Ari RB P,RB,22.62,-75.43,0.53
Robert Turbin Sea RB,RB,22.09,-75.96,1.59
Jeff Janis GB WR,WR,28.57,-76.73,0.13
Marquess Wilson Chi WR Q,WR,28.43,-76.86,0.19
Tavon Austin StL WR,WR,28.24,-77.05,1.52
Damien Williams Mia RB,RB,20.50,-77.54,1.22
Marlon Brown Bal WR,WR,26.72,-78.58,0.46
Branden Oliver SD RB,RB,19.29,-78.76,0.21
Javorius Allen Bal RB,RB,19.08,-78.97,0.01
Jonathan Grimes Hou RB,RB,19.07,-78.98,0.05
Dri Archer Pit RB,RB,19.01,-79.03,0.78
De'Anthony Thomas KC RB WR P,WR,26.26,-79.04,0.32
Dexter McCluster Ten WR RB,WR,25.93,-79.36,0.73
Jacquizz Rodgers Chi RB,RB,18.23,-79.82,0.81
Stedman Bailey StL WR,WR,25.21,-80.09,0.20
Chris Matthews Sea WR P,WR,25.00,-80.29,0.46
Kyle Juszczyk Bal RB,RB,17.42,-80.63,0.14
Quinton Patton SF WR,WR,24.55,-80.75,0.20
Marcel Reece Oak RB,RB,17.27,-80.77,0.49
Jamison Crowder Wsh WR,WR,24.35,-80.95,2.24
Jay Ajayi Mia RB P,RB,16.78,-81.27,0.23
Jeremy Langford Chi RB,RB,16.55,-81.50,0.71
Bobby Rainey TB RB,RB,15.83,-82.21,1.33
Cordarrelle Patterson Min WR,WR,22.10,-83.19,1.06
Erik Lorig NO RB,RB,14.51,-83.54,0.33
Stevan Ridley* NYJ RB O,RB,14.18,-83.87,0.12
Brandon Bolden NE RB,RB,14.06,-83.99,0.76
Justin Hardy Atl WR,WR,21.05,-84.25,0.40
Jerome Simpson SF WR SSPD,WR,20.65,-84.64,1.65
Ryan Williams* Dal RB IR,RB,13.30,-84.74,0.26
Christine Michael Sea RB,RB,13.04,-85.00,0.43
Zac Stacy NYJ RB,RB,12.61,-85.44,0.02
Antone Smith Atl RB P,RB,12.59,-85.46,0.15
Robert Hughes Ari RB,RB,12.44,-85.61,1.14
Corey Fuller Det WR,WR,19.00,-86.29,0.53
Karlos Williams Buf RB Q,RB,11.30,-86.75,1.27
Rashad Greene Jac WR,WR,18.47,-86.82,0.20
Kenny Bell TB WR Q,WR,18.28,-87.02,0.40
Sammie Coates Pit WR,WR,17.88,-87.41,0.07
Justin Hunter Ten WR,WR,17.81,-87.48,0.26
Josh Huff Phi WR,WR,17.55,-87.74,0.40
John Kuhn GB RB,RB,10.03,-88.02,0.10
Juwan Thompson Den RB,RB,9.93,-88.11,0.16
Jaron Brown Ari WR,WR,17.15,-88.14,1.65
Charcandrick West KC RB,RB,9.78,-88.27,0.60
Cyrus Gray KC RB P,RB,9.18,-88.87,1.87
