Player,Position,Score,Marginal Value
LaRod Stephens-Howling Pit RB,RB,0.00,-157.20
Isaac Redman Pit RB,RB,0.00,-157.20
Ben Tate Pit RB,RB,0.00,-157.20
Bernard Pierce Jac RB,RB,0.00,-157.20
Jawan Jamison Pit RB,RB,0.00,-157.20
Miguel Maysonet Pit RB,RB,0.00,-157.20
Tyler Gaffney* NE RB IR,RB,0.00,-157.20
LaDarius Perkins Pit RB,RB,0.00,-157.20
Brandon Gibson NE WR,WR,31.70,-158.00
Devin Hester Atl WR,WR,31.40,-158.30
Joseph Morgan NO WR,WR,25.80,-163.90
Bruce Ellington SF WR Q,WR,24.10,-165.60
Jason Avant KC WR,WR,23.70,-166.00
James Jones NYG WR,WR,22.60,-167.10
Michael Campanaro Bal WR,WR,22.20,-167.50
Devin Street Dal WR,WR,21.10,-168.60
Dontrelle Inman SD WR,WR,20.80,-168.90
Travis Benjamin Cle WR,WR,16.90,-172.80
Marquise Goodwin Buf WR,WR,14.90,-174.80
DeAndre Smelter* SF WR O,WR,14.60,-175.10
Stefon Diggs Min WR,WR,13.90,-175.80
Brenton Bersin Car WR,WR,13.50,-176.20
Geno Smith* NYJ QB O,QB,92.78,-178.64
Rishard Matthews Mia WR,WR,10.00,-179.70
Josh Morgan NO WR,WR,10.00,-179.70
Seantavius Jones NO WR,WR,9.90,-179.80
Paul Richardson* Sea WR O,WR,9.50,-180.20
Andre Caldwell Den WR,WR,8.90,-180.80
Terrelle Pryor Cle WR P,WR,8.80,-180.90
Aaron Dobson NE WR P,WR,8.80,-180.90
Corey Washington NYG WR,WR,8.80,-180.90
Joshua Bellamy Chi WR,WR,8.60,-181.10
Ty Montgomery GB WR,WR,7.90,-181.80
Jacoby Jones SD WR,WR,7.80,-181.90
Ricardo Lockette Sea WR,WR,7.60,-182.10
Lance Moore Det WR,WR,7.50,-182.20
Kenbrell Thompkins Oak WR,WR,7.40,-182.30
Ace Sanders Jac WR SSPD,WR,7.30,-182.40
JJ Nelson Ari WR,WR,7.30,-182.40
Damaris Johnson Hou WR,WR,7.20,-182.50
Ryan Grant Wsh WR,WR,7.20,-182.50
Neal Sterling Jac WR,WR,7.00,-182.70
Keith Mumphery Hou WR,WR,7.00,-182.70
Chris Givens StL WR,WR,6.90,-182.80
Chris Hogan Buf WR Q,WR,6.40,-183.30
Robert Herron TB WR,WR,5.30,-184.40
Dwayne Harris NYG WR,WR,4.50,-185.20
Eric Weems Atl WR,WR,4.50,-185.20
Jared Abbrederis GB WR Q,WR,4.50,-185.20
Darrius Heyward-Bey Pit WR,WR,4.40,-185.30
Jeff Janis GB WR,WR,4.40,-185.30
Duron Carter Ind WR,WR,4.30,-185.40
Jeremy Ross Det WR,WR,4.20,-185.50
Gerell Robinson Mia WR,WR,4.20,-185.50
Alan Bonner Hou WR,WR,4.10,-185.60
Seyi Ajirotutu Phi WR,WR,4.10,-185.60
Darren Waller Bal WR,WR,4.10,-185.60
DeVier Posey NYJ WR,WR,4.00,-185.70
Tre McBride Ten WR,WR,2.90,-186.80
Brandon Tate Cin WR,WR,2.80,-186.90
James Wright* Cin WR IR,WR,2.80,-186.90
Denarius Moore Cin WR,WR,2.80,-186.90
Marcus Harris* NYG WR IR,WR,2.80,-186.90
Vince Mayle Cle WR P,WR,2.70,-187.00
Kevin Norwood Sea WR,WR,1.90,-187.80
Marc Mariani Chi WR,WR,1.80,-187.90
Jerome Simpson SF WR SSPD,WR,0.00,-189.70
Justin Blackmon Jac WR SSPD,WR,0.00,-189.70
Kelvin Benjamin* Car WR O,WR,0.00,-189.70
Ryan Mallett Hou QB,QB,79.00,-192.42
Tyrod Taylor Buf QB,QB,69.54,-201.88
