PLAYERS,,PASSING,,,,RUSHING,,,RECEIVING,,,TOTAL
RNK,PLAYER TEAM POS,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
105,Demetrius Harris* KC TE O,0/0,0,0,0,0,0,0,2,19,0,1
106,Nick O'Leary Buf TE,0/0,0,0,0,0,0,0,1,16,0,1
107,Justin Perillo GB TE,0/0,0,0,0,0,0,0,1,8,0,0
108,Fred Davis Wsh TE,0/0,0,0,0,0,0,0,0,0,0,0
109,Kevin Brock* NO TE IR,0/0,0,0,0,0,0,0,0,0,0,0
110,Mike Caussin* Wsh TE IR,0/0,0,0,0,0,0,0,0,0,0,0
111,Gabe Miller Wsh TE,0/0,0,0,0,0,0,0,0,0,0,0
112,Kyle Miller SD TE,0/0,0,0,0,0,0,0,0,0,0,0
113,David Paulson SD TE,0/0,0,0,0,0,0,0,0,0,0,0
114,Matt Veldman Wsh TE,0/0,0,0,0,0,0,0,0,0,0,0
115,Jake Byrne SD TE,0/0,0,0,0,0,0,0,0,0,0,0
116,Niles Paul* Wsh TE IR,0/0,0,0,0,0,0,0,0,0,0,-0.4
