Player,Position,Score,Marginal Value
James Wright* Cin WR IR,WR,1.19,-103.12
Denarius Moore Cin WR,WR,1.19,-103.12
Marcus Harris* NYG WR IR,WR,1.19,-103.12
Vince Mayle Cle WR P,WR,1.12,-103.19
Kevin Norwood Sea WR,WR,0.59,-103.72
Marc Mariani Chi WR,WR,0.53,-103.78
Ryan Fitzpatrick NYJ QB,QB,128.36,-103.83
Jerome Simpson SF WR SSPD,WR,0.00,-104.31
Justin Blackmon Jac WR SSPD,WR,0.00,-104.31
Kelvin Benjamin* Car WR O,WR,0.00,-104.31
Brian Hoyer Hou QB,QB,117.94,-114.25
Matt Cassel Buf QB,QB,111.16,-121.03
Geno Smith* NYJ QB O,QB,78.58,-153.60
Ryan Mallett Hou QB,QB,66.61,-165.57
Tyrod Taylor Buf QB,QB,58.33,-173.85
Jimmy Garoppolo NE QB,QB,49.76,-182.43
Kirk Cousins Wsh QB,QB,10.72,-221.46
Drew Stanton Ari QB,QB,10.20,-221.98
Jimmy Clausen Chi QB,QB,10.19,-222.00
Johnny Manziel Cle QB,QB,9.38,-222.81
EJ Manuel Buf QB,QB,9.04,-223.14
Derek Anderson Car QB,QB,8.22,-223.96
Mark Sanchez Phi QB,QB,7.30,-224.89
Bruce Gradkowski Pit QB,QB,7.26,-224.93
Blaine Gabbert SF QB,QB,7.25,-224.94
Brandon Weeden Dal QB,QB,6.99,-225.19
Austin Davis StL QB,QB,6.84,-225.34
Chase Daniel KC QB,QB,6.84,-225.35
Brock Osweiler Den QB,QB,0.78,-231.40
Luke McCown NO QB,QB,0.59,-231.59
Matt Hasselbeck Ind QB,QB,0.58,-231.61
Dan Orlovsky Det QB,QB,0.55,-231.63
Mike Glennon TB QB,QB,0.55,-231.63
Christian Ponder Oak QB,QB,0.54,-231.64
Kellen Clemens SD QB,QB,0.53,-231.66
Matt Moore Mia QB,QB,0.53,-231.66
Shaun Hill Min QB,QB,0.50,-231.68
Matt Schaub Bal QB,QB,0.50,-231.68
T.J. Yates Atl QB,QB,0.50,-231.68
Scott Tolzien GB QB,QB,0.50,-231.68
Ryan Nassib NYG QB,QB,0.50,-231.68
Chad Henne Jac QB,QB,0.48,-231.71
Zach Mettenberger Ten QB,QB,0.48,-231.71
Tarvaris Jackson Sea QB Q,QB,0.43,-231.76
B.J. Daniels Sea QB,QB,0.43,-231.76
AJ McCarron Cin QB P,QB,0.40,-231.78
Matt Flynn NYJ QB P,QB,0.13,-232.06
Ryan Lindley NE QB,QB,0.13,-232.06
Bryce Petty NYJ QB,QB,0.13,-232.06
Colt McCoy Wsh QB,QB,0.00,-232.18
Tom Savage Hou QB,QB,0.00,-232.18
Sean Mannion StL QB,QB,0.00,-232.18
Garrett Grayson NO QB,QB,0.00,-232.18
Brett Hundley GB QB,QB,0.00,-232.18
