PLAYERS,,PASSING,,,,RUSHING,,,RECEIVING,,,TOTAL
RNK,PLAYER TEAM POS,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
99,John Kuhn GB RB,0/0,0,0,0,17,48,1,4,32,0,13
100,Juwan Thompson Den RB,0/0,0,0,0,16,67,1,2,19,0,13
101,Charcandrick West KC RB,0/0,0,0,0,17,68,1,2,16,0,13
102,Cyrus Gray KC RB P,0/0,0,0,0,13,53,1,2,16,0,12
103,Bruce Miller SF RB,0/0,0,0,0,8,26,0,11,95,0,11
104,Chris Thompson Wsh RB,0/0,0,0,0,11,44,0,8,68,0,10
105,Rex Burkhead Cin RB,0/0,0,0,0,5,18,0,11,93,0,10
106,Trent Richardson Oak RB,0/0,0,0,0,18,63,0,4,35,0,9
107,Ka'Deem Carey Chi RB,0/0,0,0,0,19,80,0,2,18,0,9
108,Fozzy Whittaker Car RB,0/0,0,0,0,16,59,0,4,31,0,8.5
109,Darrel Young Wsh RB,0/0,0,0,0,8,24,0,8,69,0,8
110,LaMichael James Mia RB P,0/0,0,0,0,12,46,0,4,35,0,7
111,Chris Polk Hou RB,0/0,0,0,0,17,76,0,1,8,0,7
112,Anthony Sherman KC RB,0/0,0,0,0,2,6,0,8,67,0,6
113,Collin Mooney Atl RB,0/0,0,0,0,0,0,0,7,60,0,6
114,Stepfan Taylor Ari RB,0/0,0,0,0,16,60,0,0,0,0,6
115,Jorvorskie Lane TB RB,0/0,0,0,0,4,12,0,6,53,0,6
116,Jerome Felton Buf RB,0/0,0,0,0,5,15,0,5,41,0,5
117,Jalston Fowler Ten RB,0/0,0,0,0,8,25,0,4,32,0,5
118,Patrick DiMarco Atl RB,0/0,0,0,0,0,0,0,7,59,0,5
119,Kendall Hunter SF RB,0/0,0,0,0,13,49,0,2,15,0,5
120,Will Johnson Pit RB,0/0,0,0,0,2,6,0,7,57,0,5
121,Mike Davis SF RB,0/0,0,0,0,8,33,0,2,15,0,4
122,Josh Harris Pit RB,0/0,0,0,0,13,48,0,1,4,0,4
123,Antonio Andrews Ten RB,0/0,0,0,0,12,45,0,0,0,0,4
124,Edwin Baker NO RB,0/0,0,0,0,4,16,0,2,20,0,3
125,James Develin* NE RB O,0/0,0,0,0,2,7,0,4,36,0,3
126,Marcus Murphy* NO RB O,0/0,0,0,0,4,16,0,2,20,0,3
127,Derrick Coleman Sea RB,0/0,0,0,0,0,0,0,3,28,0,2
128,Vick Ballard Ind RB Q,0/0,0,0,0,4,15,0,2,19,0,2
129,Travaris Cadet NE RB P,0/0,0,0,0,3,11,0,2,19,0,2
130,Tommy Bohanon NYJ RB,0/0,0,0,0,4,12,0,2,17,0,2
131,Kerwynn Williams Ari RB,0/0,0,0,0,4,15,0,2,18,0,2
132,Michael Burton Det RB,0/0,0,0,0,4,13,0,2,18,0,2
133,Donald Brown SD RB,0/0,0,0,0,4,15,0,2,18,0,2
134,Kenny Hilliard Hou RB,0/0,0,0,0,6,22,0,1,8,0,2
135,Orson Charles NO RB SSPD,0/0,0,0,0,0,0,0,2,23,0,2
136,Isaiah Pead StL RB,0/0,0,0,0,5,19,0,1,5,0,1
137,Darrin Reaves KC RB,0/0,0,0,0,5,18,0,0,0,0,1
138,Jay Prosch Hou RB,0/0,0,0,0,2,7,0,2,17,0,1
139,Gus Johnson Dal RB Q,0/0,0,0,0,2,9,0,2,17,0,1
140,Boobie Dixon Buf RB P,0/0,0,0,0,5,18,0,0,0,0,1
141,Jordan Todman Car RB,0/0,0,0,0,4,17,0,0,0,0,1
142,Shaun Draughn Cle RB P,0/0,0,0,0,5,18,0,0,0,0,1
143,Henry Hynoski NYG RB,0/0,0,0,0,4,13,0,0,0,0,1
144,Jeremy Stewart Den RB,0/0,0,0,0,5,18,0,0,0,0,1
145,Mike James TB RB,0/0,0,0,0,4,14,0,0,0,0,1
146,Storm Johnson Jac RB,0/0,0,0,0,4,14,0,0,0,0,1
147,Fitzgerald Toussaint Bal RB,0/0,0,0,0,4,17,0,0,0,0,1
148,John Crockett GB RB,0/0,0,0,0,4,16,0,0,0,0,1
149,Thomas Rawls Sea RB,0/0,0,0,0,5,18,0,0,0,0,1
150,Senorise Perry Chi RB,0/0,0,0,0,2,7,0,0,0,0,0.5
151,Chase Reynolds StL RB,0/0,0,0,0,0,0,0,0,0,0,0.5
152,Matthew Tucker* Phi RB IR,0/0,0,0,0,2,9,0,0,0,0,0
153,Ahmad Bradshaw Ind RB SSPD,0/0,0,0,0,0,0,0,0,0,0,0
154,Pierre Thomas NO RB,0/0,0,0,0,0,0,0,0,0,0,0
155,Felix Jones Pit RB,0/0,0,0,0,0,0,0,0,0,0,0
156,Cedric Peerman Cin RB,0/0,0,0,0,2,9,0,0,0,0,0
157,LaRod Stephens-Howling Pit RB,0/0,0,0,0,0,0,0,0,0,0,0
158,Isaac Redman Pit RB,0/0,0,0,0,0,0,0,0,0,0,0
159,Ben Tate Pit RB,0/0,0,0,0,0,0,0,0,0,0,0
160,Bernard Pierce Jac RB,0/0,0,0,0,0,0,0,0,0,0,0
161,Bryce Brown Buf RB P,0/0,0,0,0,2,9,0,0,0,0,0
162,Kenjon Barner Phi RB,0/0,0,0,0,2,9,0,0,0,0,0
163,Jawan Jamison Pit RB,0/0,0,0,0,0,0,0,0,0,0,0
164,Miguel Maysonet Pit RB,0/0,0,0,0,0,0,0,0,0,0,0
165,Tyler Gaffney* NE RB IR,0/0,0,0,0,0,0,0,0,0,0,0
166,Lache Seastrunk Dal RB,0/0,0,0,0,0,0,0,0,0,0,0
167,Silas Redd* Wsh RB IR,0/0,0,0,0,2,8,0,0,0,0,0
168,LaDarius Perkins Pit RB,0/0,0,0,0,0,0,0,0,0,0,0
