Player,Position,Score,Marginal Value
DeMarco Murray - DAL,RB,46.89,-48.89
David Garrard - JAC,QB,170.35,-49.50
Arrelious Benn - TB,WR,55.88,-50.05
Delone Carter - IND,RB,45.63,-50.16
Joel Dreessen - HOU,TE,34.00,-50.45
Roy Helu - WAS,RB,45.12,-50.67
Matt Hasselbeck - TEN,QB,168.64,-51.22
Brian Robiskie - CLE,WR,54.55,-51.39
Toby Gerhart - MIN,RB,44.08,-51.70
Stevan Ridley - NE,RB,43.42,-52.37
Kyle Orton - DEN,QB,167.41,-52.45
Evan Moore - CLE,TE,31.91,-52.54
Jason Hill - JAC,WR,52.82,-53.12
Eddie Royal - DEN,WR,52.32,-53.61
Denarius Moore - OAK,WR,51.32,-54.62
Michael Hoomanawanui - STL,TE,29.55,-54.90
Daniel Fells - DEN,TE,29.01,-55.44
Jabar Gaffney - WAS,WR,50.23,-55.70
Anthony Armstrong - WAS,WR,49.84,-56.10
Chad Henne - MIA,QB,163.50,-56.36
Cam Newton - CAR,QB,163.36,-56.50
Ben Tate - HOU,RB,39.13,-56.65
David Thomas - NO,TE,27.80,-56.66
Emmanuel Sanders - PIT,WR,49.19,-56.75
Alex Smith - SF,QB,162.82,-57.04
Jason Campbell - OAK,QB,162.61,-57.25
Kyle Rudolph - MIN,TE,27.07,-57.38
Patrick Crayton - SD,WR,48.54,-57.39
Rob Housler - ARI,TE,27.00,-57.45
Brian Hartline - MIA,WR,48.30,-57.64
Brandon Jackson - CLE,RB,37.97,-57.82
Andre Roberts - ARI,WR,47.76,-58.17
Louis Murphy - OAK,WR,47.75,-58.18
Steve Smith - PHI,WR,47.71,-58.23
Kendall Hunter - SF,RB,37.20,-58.58
Mike Goodson - CAR,RB,36.20,-59.58
Jacquizz Rodgers - ATL,RB,36.09,-59.70
Montario Hardesty - CLE,RB,36.03,-59.76
Donald Brown - IND,RB,35.90,-59.89
Bernard Scott - CIN,RB,35.76,-60.02
Devery Henderson - NO,WR,45.83,-60.10
Jamie Harper - TEN,RB,35.61,-60.18
Zach Miller - JAC,TE,23.83,-60.62
Josh Morgan - SF,WR,45.25,-60.69
Early Doucet - ARI,WR,44.62,-61.32
Bernard Berrian - MIN,WR,44.54,-61.40
Roscoe Parrish - BUF,WR,43.06,-62.88
Jacob Tamme - IND,TE,21.45,-63.00
Derrick Ward - HOU,RB,32.57,-63.22
Jerome Harrison - DET,RB,32.50,-63.28
Jason Avant - PHI,WR,42.60,-63.33
Mohamed Massaquoi - CLE,WR,42.00,-63.93
Bo Scaife - CIN,TE,19.36,-65.09
Martellus Bennett - DAL,TE,18.78,-65.67
Eric Decker - DEN,WR,40.20,-65.74
Leon Washington - SEA,RB,29.86,-65.92
Danario Alexander - STL,WR,39.38,-66.55
Kellen Davis - CHI,TE,17.80,-66.65
Donovan McNabb - MIN,QB,153.03,-66.83
John Carlson - SEA,TE,17.46,-66.99
Earnest Graham - TB,RB,28.63,-67.15
Randy McMichael - SD,TE,17.23,-67.22
Andrew Quarless - GB,TE,16.81,-67.64
John Kuhn - GB,RB,27.97,-67.81
Darrius Heyward-Bey - OAK,WR,37.97,-67.97
Dennis Pitta - BAL,TE,16.45,-68.00
Michael Jenkins - MIN,WR,37.26,-68.68
Delanie Walker - SF,TE,15.22,-69.23
Jerricho Cotchery - PIT,WR,36.52,-69.42
Anthony Dixon - SF,RB,26.25,-69.54
Joe McKnight - NYJ,RB,25.89,-69.89
Taiwan Jones - OAK,RB,25.89,-69.89
Chester Taylor - CHI,RB,25.63,-70.15
David Martin - BUF,TE,14.18,-70.27
Justin Peelle - ATL,TE,14.02,-70.43
Torrey Smith - BAL,WR,35.48,-70.45
Dante Rosario - DEN,TE,13.98,-70.48
Julius Thomas - DEN,TE,13.03,-71.42
Craig Stevens - TEN,TE,12.96,-71.50
Marcel Reece - OAK,RB,23.94,-71.85
Brandon LaFell - CAR,WR,34.05,-71.89
Jon Baldwin - KC,WR,33.79,-72.15
Golden Tate - SEA,WR,33.78,-72.16
Jeff King - ARI,TE,12.08,-72.37
Le'Ron McClain - KC,RB,23.11,-72.68
Justin Gage - TEN,WR,33.11,-72.82
Shawn Nelson - BUF,TE,11.25,-73.20
Andre Caldwell - CIN,WR,32.66,-73.28
Titus Young - DET,WR,32.65,-73.29
Matt Spaeth - CHI,TE,10.53,-73.92
Shane Vereen - NE,RB,21.75,-74.04
Jordan Cameron - CLE,TE,10.10,-74.35
Desmond Clark - CHI,TE,9.61,-74.84
Will Heller - DET,TE,9.53,-74.93
Dezmon Briscoe - TB,WR,30.83,-75.11
Leonard Pope - KC,TE,9.28,-75.17
Daniel Graham - TEN,TE,9.01,-75.44
Tarvaris Jackson - SEA,QB,144.41,-75.45
Ben Obomanu - SEA,WR,29.79,-76.15
John Gilmore - PIT,TE,8.21,-76.25
Jordan Todman - SD,RB,19.51,-76.28
Andy Dalton - CIN,QB,143.42,-76.44
D.J. Williams - GB,TE,7.94,-76.51
Josh Cribbs - CLE,WR,29.40,-76.53
Clay Harbor - PHI,TE,7.68,-76.77
Anthony McCoy - SEA,TE,7.19,-77.26
Brandon Myers - OAK,TE,7.17,-77.28
Luke Stocker - TB,TE,7.15,-77.31
Donnie Avery - STL,WR,28.58,-77.35
Dan Gronkowski - DEN,TE,6.84,-77.61
Jim Dray - ARI,TE,6.47,-77.99
Mewelde Moore - PIT,RB,17.77,-78.02
Richard Gordon - OAK,TE,6.30,-78.16
Evan Royster - WAS,RB,17.07,-78.71
Richard Quinn - DEN,TE,5.56,-78.89
Fendi Onobun - STL,TE,5.43,-79.02
Brandon Tate - NE,WR,26.68,-79.25
Billy Bajema - STL,TE,5.08,-79.37
Alex Green - GB,RB,16.30,-79.48
Jalen Parmele - BAL,RB,16.16,-79.62
Kevin Ogletree - DAL,WR,25.82,-80.11
Harry Douglas - ATL,WR,25.82,-80.12
Billy Miller - NO,TE,4.24,-80.21
Michael Gaines - HOU,TE,4.13,-80.32
Sammie Stroughter - TB,WR,25.37,-80.56
Kory Sperry - SD,TE,3.76,-80.69
Anthony Allen - BAL,RB,14.93,-80.86
James Casey - HOU,TE,3.56,-80.89
Demaryius Thomas - DEN,WR,24.92,-81.02
Lance Ball - DEN,RB,14.74,-81.05
David Nelson - BUF,WR,24.87,-81.06
Jimmy Kleinsasser - MIN,TE,3.37,-81.08
Garrett Mills - CIN,TE,3.08,-81.37
Chase Coffman - CIN,TE,3.06,-81.40
Mickey Shuler - MIA,TE,2.92,-81.53
Sean Ryan - TEN,TE,2.90,-81.55
Cecil Shorts - JAC,WR,24.24,-81.69
Gary Barnidge - CAR,TE,2.75,-81.70
Dexter McCluster - KC,WR,24.18,-81.75
Ovie Mughelli - ATL,RB,13.93,-81.86
Dominique Byrd - SEA,TE,2.51,-81.94
Donald Jones - BUF,WR,23.96,-81.97
Michael Palmer - ATL,TE,2.44,-82.01
Jacob Hester - SD,RB,13.69,-82.10
Ahmard Hall - TEN,RB,13.67,-82.12
Bear Pascoe - NYG,TE,2.32,-82.14
Darnell Dinkins - NO,TE,2.26,-82.19
Logan Paulsen - WAS,TE,2.24,-82.21
Blair White - IND,WR,23.72,-82.21
Cameron Morrah - SEA,TE,2.20,-82.25
Dion Lewis - PHI,RB,13.52,-82.27
Ben Hartsock - CAR,TE,2.18,-82.27
Donald Lee - PHI,TE,2.18,-82.27
Virgil Green - DEN,TE,1.97,-82.49
Vonta Leach - BAL,RB,13.25,-82.53
Chris Ivory - NO,RB,12.99,-82.80
Casey Fitzsimmons - DET,TE,1.56,-82.89
Chansi Stuckey - ARI,WR,23.04,-82.90
Lee Smith - NE,TE,1.45,-83.00
Tom Crabtree - GB,TE,1.34,-83.11
Tory Humphrey - NO,TE,1.32,-83.13
Seyi Ajirotutu - SD,WR,22.80,-83.14
Derek Fine - HOU,TE,1.17,-83.28
Nate Byham - SF,TE,1.10,-83.35
Alge Crumpler - NE,TE,1.08,-83.37
Bilal Powell - NYJ,RB,12.32,-83.47
Domenik Hixon - NYG,WR,22.45,-83.48
Jerious Norwood - STL,RB,12.30,-83.49
Keiland Williams - WAS,RB,12.29,-83.50
Heath Evans - NO,RB,12.27,-83.51
Brody Eldridge - IND,TE,0.86,-83.59
Jake O'Connell - KC,TE,0.84,-83.61
David Johnson - PIT,TE,0.84,-83.61
Ryan Purvis - TB,TE,0.84,-83.61
Marcus Easley - BUF,WR,22.30,-83.64
Deon Butler - SEA,WR,22.27,-83.67
John Phillips - DAL,TE,0.68,-83.77
Leonard Hankerson - WAS,WR,22.11,-83.82
Zach Potter - JAC,TE,0.61,-83.84
Rashied Davis - DET,WR,22.08,-83.85
Stephen Spach - ARI,TE,0.55,-83.90
Ted Ginn - SF,WR,21.90,-84.03
Mike Sellers - WAS,RB,11.63,-84.15
Jake Nordin - DET,TE,0.28,-84.17
Reggie Kelly - ATL,TE,0.24,-84.21
Charles Clay - MIA,TE,0.13,-84.32
Martin Rucker - DAL,TE,0.13,-84.32
Legedu Naanee - CAR,WR,21.60,-84.34
Jeff Cumberland - NYJ,TE,0.07,-84.39
Steve Slaton - HOU,RB,11.10,-84.68
David Anderson - DEN,WR,21.19,-84.75
Patrick Cobbs - NO,RB,11.01,-84.77
Micheal Spurlock - TB,WR,20.90,-85.03
Allen Bradford - TB,RB,10.43,-85.36
Lex Hilliard - MIA,RB,10.31,-85.48
Sammy Morris - NE,RB,9.85,-85.93
T.J. Houshmandzadeh - BAL,WR,19.99,-85.95
Clyde Gates - MIA,WR,19.93,-86.01
Greg Camarillo - MIN,WR,19.76,-86.17
Sam Hurd - CHI,WR,19.76,-86.18
Owen Schmitt - PHI,RB,9.54,-86.25
Aaron Brown - DET,RB,9.43,-86.36
Austin Pettis - STL,WR,19.42,-86.52
Javarris James - IND,RB,9.24,-86.55
Johnny White - BUF,RB,9.18,-86.61
David Reed - BAL,WR,19.09,-86.84
Randall Cobb - GB,WR,19.01,-86.93
Devin Aromashodu - MIN,WR,19.00,-86.93
Lousaka Polite - MIA,RB,8.64,-87.15
Brian Leonard - CIN,RB,8.47,-87.31
Danny Ware - NYG,RB,8.47,-87.31
Jerheme Urban - KC,WR,18.14,-87.80
Anthony Gonzalez - IND,WR,18.01,-87.92
Jarett Dillard - JAC,WR,17.97,-87.96
Michael Robinson - SEA,RB,7.82,-87.96
Alfonso Smith - ARI,RB,7.78,-88.01
Jerome Felton - DET,RB,7.33,-88.46
LenDale White - DEN,RB,7.27,-88.52
Lawrence Vickers - HOU,RB,7.15,-88.64
Chris Gronkowski - DAL,RB,6.98,-88.81
Naufahu Tahi - MIN,RB,6.49,-89.29
Correll Buckhalter - DEN,RB,6.35,-89.44
Jeff Dugan - MIN,RB,6.20,-89.58
Owen Marecic - CLE,RB,6.10,-89.68
Kealoha Pilares - CAR,WR,16.19,-89.74
Rock Cartwright - OAK,RB,5.96,-89.83
John Conner - NYJ,RB,5.85,-89.93
Mike Bell - DET,RB,5.68,-90.10
Rex Grossman - WAS,QB,129.60,-90.25
Deji Karim - JAC,RB,5.29,-90.50
Terrell Owens - CIN,WR,14.91,-91.03
Damian Williams - TEN,WR,14.86,-91.07
Greg Jones - JAC,RB,4.70,-91.08
Tandon Doss - BAL,WR,14.57,-91.37
Da'Rel Scott - NYG,RB,4.38,-91.41
Victor Cruz - NYG,WR,14.45,-91.49
Jordan Norwood - CLE,WR,14.37,-91.57
Tim Castille - KC,RB,4.09,-91.70
Tyrell Sutton - CAR,RB,3.81,-91.97
Larry Johnson - MIA,RB,3.78,-92.01
Spencer Larsen - DEN,RB,3.66,-92.12
Riley Cooper - PHI,WR,13.73,-92.20
Greg Salas - STL,WR,13.58,-92.36
Justin Griffith - HOU,RB,3.34,-92.45
Anthony Sherman - ARI,RB,3.20,-92.58
Dwayne Harris - DAL,WR,13.34,-92.59
Lonyae Miller - DAL,RB,3.10,-92.69
Jonathan Dwyer - PIT,RB,3.08,-92.71
Kahlil Bell - CHI,RB,2.98,-92.81
Corey McIntyre - BUF,RB,2.97,-92.81
Kenneth Darby - STL,RB,2.97,-92.82
Darius Reynaud - NYG,RB,2.86,-92.92
Lynell Hamilton - NO,RB,2.71,-93.08
John Clay - PIT,RB,2.57,-93.22
Kregg Lumpkin - TB,RB,2.57,-93.22
Kevin Curtis - TEN,WR,12.71,-93.22
Quinton Ganther - BUF,RB,2.52,-93.26
Chaz Schilens - OAK,WR,12.61,-93.33
Kevin Faulk - NE,RB,2.42,-93.37
Madison Hedgecock - NYG,RB,2.41,-93.37
B.J. Askew - TB,RB,2.38,-93.41
Donte' Stallworth - WAS,WR,12.50,-93.44
Tony Richardson - NYJ,RB,2.34,-93.45
Stephen Williams - ARI,WR,12.35,-93.59
Montell Owens - JAC,RB,2.13,-93.65
Keith Toston - STL,RB,2.05,-93.73
Moran Norris - SF,RB,1.94,-93.85
Dimitri Nance - GB,RB,1.93,-93.86
Vincent Brown - SD,WR,12.08,-93.86
Mike Cox - KC,RB,1.86,-93.93
Lorenzo Booker - MIN,RB,1.84,-93.94
Jackie Battle - KC,RB,1.74,-94.05
Kelley Washington - SD,WR,11.77,-94.17
Shaun Chapas - DAL,RB,1.62,-94.17
Quinn Johnson - GB,RB,1.58,-94.20
Baron Batch - PIT,RB,1.53,-94.26
James Davis - WAS,RB,1.42,-94.37
Dominic Rhodes - IND,RB,1.38,-94.41
Niles Paul - WAS,WR,11.43,-94.51
Gartrell Johnson - ATL,RB,1.21,-94.57
Eric Weems - ATL,WR,11.25,-94.69
Eldra Buckley - PHI,RB,1.04,-94.74
Michael Bennett - OAK,RB,0.94,-94.85
DeShawn Wynn - NO,RB,0.92,-94.86
Tony Fiammetta - CAR,RB,0.92,-94.87
Garrett Wolfe - CHI,RB,0.88,-94.91
Aldrick Robinson - WAS,WR,11.00,-94.94
Matt Lawrence - BAL,RB,0.78,-95.01
Brad Hoover - CAR,RB,0.77,-95.02
Stefan Logan - DET,RB,0.69,-95.10
Albert Young - JAC,RB,0.68,-95.11
Bryant Johnson - DET,WR,10.67,-95.27
DeDe Dorsey - DET,RB,0.39,-95.40
