Player,Position,Score,Marginal Value
David Martin - BUF,TE,24.63,-125.64
Jordan Cameron - CLE,TE,23.80,-126.47
Daniel Graham - TEN,TE,22.03,-128.24
Jimmy Kleinsasser - MIN,TE,21.30,-128.97
Jacob Hester - SD,RB,35.90,-129.03
Alex Green - GB,RB,35.10,-129.83
Kevin Ogletree - DAL,WR,56.33,-130.44
Lance Ball - DEN,RB,34.43,-130.50
Brian Leonard - CIN,RB,34.30,-130.63
Keiland Williams - DET,RB,33.90,-131.03
Demaryius Thomas - DEN,WR,55.23,-131.54
D.J. Williams - GB,TE,18.10,-132.17
Andre Caldwell - CIN,WR,54.20,-132.57
Clay Harbor - PHI,TE,17.37,-132.90
Anthony McCoy - SEA,TE,17.27,-133.00
Cecil Shorts - JAC,WR,53.73,-133.04
Vonta Leach - BAL,RB,31.87,-133.06
Steve Slaton - HOU,RB,31.83,-133.10
Brandon Myers - OAK,TE,16.40,-133.87
Ben Obomanu - SEA,WR,52.83,-133.94
Jerious Norwood - STL,RB,30.77,-134.16
Kregg Lumpkin - TB,RB,30.00,-134.93
Reggie Kelly - ATL,TE,15.23,-135.04
Dion Lewis - PHI,RB,29.80,-135.13
Allen Bradford - TB,RB,29.00,-135.93
Ovie Mughelli - ATL,RB,28.86,-136.07
Domenik Hixon - NYG,WR,50.47,-136.30
Ahmard Hall - TEN,RB,28.57,-136.36
Jim Dray - ARI,TE,13.87,-136.40
Will Heller - DET,TE,13.87,-136.40
Richard Gordon - OAK,TE,13.60,-136.67
Ted Ginn - SF,WR,49.60,-137.17
Brandon Tate - CIN,WR,49.53,-137.24
Chansi Stuckey - ARI,WR,49.03,-137.74
Leonard Hankerson - WAS,WR,48.80,-137.97
Michael Palmer - ATL,TE,11.47,-138.80
Billy Bajema - STL,TE,11.07,-139.20
David Nelson - BUF,WR,47.43,-139.34
Derek Hagan - OAK,WR,47.40,-139.37
Bear Pascoe - NYG,TE,10.50,-139.77
Blair White - IND,WR,46.73,-140.04
James Casey - HOU,TE,10.10,-140.17
Correll Buckhalter - DEN,RB,24.40,-140.53
Victor Cruz - NYG,WR,45.90,-140.87
Charles Clay - MIA,TE,9.03,-141.24
Randall Cobb - GB,WR,45.37,-141.40
Devin Aromashodu - MIN,WR,45.30,-141.47
Legedu Naanee - CAR,WR,45.23,-141.54
Damian Williams - TEN,WR,44.63,-142.14
Virgil Green - DEN,TE,8.00,-142.27
Bilal Powell - NYJ,RB,22.63,-142.30
Austin Pettis - STL,WR,44.47,-142.30
