Player,Position,Score,Value over Avg,Value over Next
Tavon Austin LA WR,WR,145.31,-54.28,0.58
Terrance Williams Dal WR,WR,144.73,-54.86,0.63
Austin Seferian-Jenkins TB TE,TE,106.84,-55.37,5.65
Kamar Aiken Bal WR,WR,144.10,-55.49,2.98
Tevin Coleman Atl RB,RB,119.40,-56.53,1.35
Jerick McKinnon Min RB,RB,118.05,-57.88,1.21
Kenny Britt LA WR,WR,141.12,-58.47,3.82
Chris Thompson Wsh RB,RB,116.84,-59.09,10.49
Jacob Tamme Atl TE,TE,101.19,-61.02,1.61
Rishard Matthews Ten WR,WR,137.30,-62.29,1.95
Vance McDonald SF TE,TE,99.58,-62.63,1.27
Virgil Green Den TE,TE,98.31,-63.90,4.33
Bruce Ellington SF WR P,WR,135.35,-64.24,0.19
Sammie Coates Pit WR,WR,135.16,-64.43,1.67
Phillip Dorsett Ind WR,WR,133.49,-66.10,0.66
Robert Griffin Cle QB,QB,202.71,-66.53,21.14
Mike Wallace Bal WR,WR,132.83,-66.76,7.69
Will Tye NYG TE,TE,93.98,-68.23,9.08
Dion Lewis* NE RB O,RB,106.35,-69.58,0.53
DeAngelo Williams Pit RB,RB,105.82,-70.11,2.21
James Starks GB RB,RB,103.61,-72.32,1.37
Devontae Booker Den RB,RB,102.24,-73.69,8.19
Robert Woods Buf WR,WR,125.14,-74.45,3.00
Larry Donnell NYG TE,TE,84.90,-77.31,0.70
Anquan Boldin Det WR,WR,122.14,-77.45,3.04
Jace Amaro NYJ TE P,TE,84.20,-78.01,3.39
Jamison Crowder Wsh WR,WR,119.10,-80.49,0.19
Cole Beasley Dal WR,WR,118.91,-80.68,2.11
Ladarius Green* Pit TE O,TE,80.81,-81.40,9.72
Javorius Allen Bal RB,RB,94.05,-81.88,4.80
Jermaine Kearse Sea WR,WR,116.80,-82.79,0.04
Tajae Sharpe Ten WR P,WR,116.76,-82.83,3.79
Laquon Treadwell Min WR,WR,112.97,-86.62,1.11
C.J. Spiller NO RB,RB,89.25,-86.68,1.53
Sam Bradford Phi QB,QB,181.57,-87.67,20.93
Chris Hogan NE WR,WR,111.86,-87.73,2.85
DeAndre Washington Oak RB,RB,87.72,-88.21,1.14
C.J. Prosise Sea RB P,RB,86.58,-89.35,1.91
Tyler Boyd Cin WR,WR,109.01,-90.58,0.62
Austin Hooper Atl TE,TE,71.09,-91.12,0.78
Davante Adams GB WR,WR,108.39,-91.20,4.36
Christine Michael Sea RB,RB,84.67,-91.26,0.20
Jay Ajayi Mia RB,RB,84.47,-91.46,0.21
James White NE RB,RB,84.26,-91.67,6.40
Richard Rodgers GB TE,TE,70.31,-91.90,1.51
Tyler Higbee LA TE,TE,68.80,-93.41,0.85
Jesse James Pit TE,TE,67.95,-94.26,0.45
Cameron Brate TB TE,TE,67.50,-94.71,0.55
Lance Kendricks LA TE,TE,66.95,-95.26,2.77
Braxton Miller Hou WR,WR,104.03,-95.56,0.09
Chris Conley KC WR,WR,103.94,-95.65,0.93
Seth Roberts Oak WR,WR,103.01,-96.58,0.06
Ted Ginn Jr. Car WR,WR,102.95,-96.64,3.99
Hunter Henry SD TE,TE,64.18,-98.03,3.02
Kenyan Drake Mia RB Q,RB,77.86,-98.07,0.50
Jordan Howard Chi RB,RB,77.36,-98.57,0.29
Terrance West Bal RB,RB,77.07,-98.86,1.06
Ka'Deem Carey Chi RB Q,RB,76.01,-99.92,5.02
Nelson Agholor Phi WR,WR,98.96,-100.63,0.43
Brent Celek Phi TE,TE,61.16,-101.05,4.53
Kenny Stills Mia WR,WR,98.53,-101.06,0.09
Kendall Wright Ten WR P,WR,98.44,-101.15,1.08
Josh Doctson* Wsh WR O,WR,97.36,-102.23,2.31
Quinton Patton SF WR,WR,95.05,-104.54,3.60
Reggie Bush Buf RB,RB,70.99,-104.94,0.87
Maxx Williams Bal TE P,TE,56.63,-105.58,5.68
Benjamin Cunningham LA RB,RB,70.12,-105.81,0.32
Tim Hightower NO RB,RB,69.80,-106.13,0.18
Spencer Ware KC RB,RB,69.62,-106.31,6.59
Eddie Royal Chi WR P,WR,91.45,-108.14,2.49
Blaine Gabbert SF QB,QB,160.64,-108.60,34.99
Charles Johnson Min WR,WR,88.96,-110.63,2.56
Jermaine Gresham Ari TE P,TE,50.95,-111.26,4.92
Chris Johnson Ari RB,RB,63.03,-112.90,0.02
Mike Tolbert Car RB,RB,63.01,-112.92,2.38
Jaelen Strong Hou WR,WR,86.40,-113.19,0.27
Breshad Perriman Bal WR Q,WR,86.13,-113.46,0.25
Brandon LaFell Cin WR Q,WR,85.88,-113.71,5.48
Alfred Morris Dal RB,RB,60.63,-115.30,2.03
Marcedes Lewis Jax TE,TE,46.03,-116.18,4.24
