Player,Position,Score,Value over Avg,Value over Next
Shaun Draughn SF RB P,RB,80.31,-65.92,3.77
Richard Rodgers GB TE,TE,31.56,-66.42,18.29
Tajae Sharpe Ten WR P,WR,72.17,-66.55,0.02
Laquon Treadwell Min WR,WR,72.15,-66.57,1.98
Chris Hogan NE WR,WR,70.17,-68.55,1.19
Christine Michael Sea RB,RB,76.54,-69.69,2.89
Davante Adams GB WR,WR,68.98,-69.74,1.57
Jamison Crowder Wsh WR P,WR,67.41,-71.31,2.55
Chris Thompson Wsh RB P,RB,73.65,-72.58,0.86
Dion Lewis* NE RB O,RB,72.79,-73.44,3.91
Josh Doctson* Wsh WR O,WR,64.86,-73.86,1.90
Chris Conley KC WR,WR,62.96,-75.76,1.31
Nelson Agholor Phi WR,WR,61.65,-77.07,0.92
Terrance West Bal RB,RB,68.88,-77.35,1.52
Braxton Miller Hou WR,WR,60.73,-77.99,2.18
Javorius Allen Bal RB,RB,67.36,-78.87,1.95
Charles Johnson Min WR,WR,58.55,-80.17,1.20
C.J. Prosise Sea RB,RB,65.41,-80.82,0.28
DeAndre Washington Oak RB,RB,65.13,-81.10,0.86
Breshad Perriman Bal WR Q,WR,57.35,-81.37,2.75
Ka'Deem Carey Chi RB Q,RB,64.27,-81.96,0.25
Spencer Ware KC RB,RB,64.02,-82.21,3.09
Jaelen Strong Hou WR,WR,54.60,-84.12,6.01
Vernon Davis Wsh TE,TE,13.27,-84.71,13.27
Chris Johnson Ari RB,RB,60.93,-85.30,1.12
Tim Hightower NO RB,RB,59.81,-86.42,3.58
Alfred Morris Dal RB,RB,56.23,-90.00,0.33
James White NE RB,RB,55.90,-90.33,0.38
Reggie Bush Buf RB,RB,55.52,-90.71,3.11
Jordan Howard Chi RB,RB,52.41,-93.82,0.22
C.J. Spiller NO RB,RB,52.19,-94.04,6.15
Sam Bradford Phi QB,QB,192.13,-95.09,18.50
Alex Smith Wsh TE,TE,0.00,-97.98,0.00
Cameron Artis-Payne Car RB,RB,46.04,-100.19,0.20
Benjamin Cunningham LA RB,RB,45.84,-100.39,1.09
